Population,Stat Area,CU,Year,Original Escapement Estimate,Database Estimate,Recommended Estimate,# Surveys Used in Estimate,Analysis Method (Pre 2004),Analysis Reliability (Pre 2004),Annual Est. Method,Annual Est. Classification,Recommended Method,Recommended Classification,Peak Timing Covered? (Y/N) (Peak Time),QA Comments,Annual Est. Rationale,AUC Recalculation,# of Surveys
arnoup,6,hecate_strait_mainland,1980,210,210,A/P,,,,,,,,N (Oct C),"6 inspections this year, done before peak. No rationale included, no method or reliability. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,6
arnoup,6,hecate_strait_mainland,1981,150,150,A/P,,,,,,,,N (Oct C),"5 inspections this year, done before peak. No rationale included, no method or reliability. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,5
arnoup,6,hecate_strait_mainland,1982,400,400,A/P,,,,,,,,N (Oct C),"7 inspections this year, done before peak. No rationale included, no method or reliability. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,7
arnoup,6,hecate_strait_mainland,1983,150,150,A/P,,,,,,,,N (Oct C),"5 inspections this year, done before peak. No rationale included, no method or reliability. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,5
arnoup,6,hecate_strait_mainland,1984,400,400,A/P,,,,,,,,N (Oct C),"4 inspections this year, done before peak. No rationale included, no method or reliability. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,4
arnoup,6,hecate_strait_mainland,1985,300,300,A/P,4,F,B,,,,,N (Oct C),"6 inspections this year, done before peak. No rationale included. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,6
arnoup,6,hecate_strait_mainland,1986,215,215,A/P,4,2-Jan,3,,,,,N (Oct C),"7 inspections this year, done before peak. No rationale included, medium reliability of 3. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,7
arnoup,6,hecate_strait_mainland,1987,150,150,A/P,2,1,2,,,,,N (Oct C),"6 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,6
arnoup,6,hecate_strait_mainland,1988,250,250,A/P,7,1,3,,,,,N (Oct C),"7 inspections this year, done before peak. No rationale included, medium reliability of 3. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,7
arnoup,6,hecate_strait_mainland,1989,300,300,A/P,5,1,3,,,,,N (Oct C),"8 inspections this year, done before peak. No rationale included, medium reliability of 3. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,8
arnoup,6,hecate_strait_mainland,1990,125,125,A/P,4,1,2,,,,,N (Oct C),"7 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,7
arnoup,6,hecate_strait_mainland,1991,250,250,A/P,6,1,2,,,,,N (Oct C),"6 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,9
arnoup,6,hecate_strait_mainland,1992,350,350,A/P,7,1,2,,,,,N (Oct C),"7 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,7
arnoup,6,hecate_strait_mainland,1993,275,275,A/P,7,1,2,,,,,N (Oct C),"7 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,7
arnoup,6,hecate_strait_mainland,1994,400,400,A/P,,1,2,,,,,N (Oct C),"6 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,6
arnoup,6,hecate_strait_mainland,1995,270,270,A/P,,1,1,,,,,N (Oct C),"4 inspections this year, done before peak. No rationale included, very low reliability of 1. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,4
arnoup,6,hecate_strait_mainland,1996,200,200,A/P,5,1,2,,,,,N (Oct C),"6 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,6
arnoup,6,hecate_strait_mainland,1997,165,165,A/P,5,1,2,,,,,N (Oct C),"5 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,5
arnoup,6,hecate_strait_mainland,1998,700,700,A/P,4,1,2,,,,,N (Oct C),"4 inspections this year, done before peak. No rationale included, low reliability of 2. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",,,4
arnoup,6,hecate_strait_mainland,1999,120,120,A/P,3,1,1,,,,,N (Oct C),"3 inspections this year, done before peak. No rationale included, very low reliability of 1. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",Coho estimate from observation in creek below passable falls in left fork.,,3
arnoup,6,hecate_strait_mainland,2000,250,250,A/P,2,1,1,,,,,N (Oct C),"4 inspections this year, done before peak. No rationale included, very low reliability of 1. Pink and chum were the target species, estimate likely just the amount of Coho seen on inspections. Could be switched to A/P.",Coho estimate from observations near peak and end of upstream migration period.,,4
arnoup,6,hecate_strait_mainland,2001,600,600,600,4,1,2,,,,,Y (Oct C),"4 inspections done this year, low reliability of 2 and peak was seen. Enough information to create an accurate estimate, orginal estimate is likely valid.",Coho estimate from observations of coho holding in mainstem below s and holding pool above falls left fork. Inspection for coho lte Oct. done during high water levels and unable to access upper watershed of left tributary where majority of returm hold and spawn.,,4
arnoup,6,hecate_strait_mainland,2002,1000,1000,4000,4,1,2,,,,,Y (Oct C),"4 inspections done this year, low reliability of 2 and peak was seen. Enough information to create an accurate estimate, orginal estimate is likely valid.","Pink, chum, and coho estimates from observations during arrival, start peak, and end of spawning period. ",,4
arnoup,6,hecate_strait_mainland,2003,450,450,450,4,1,2,,,,,Y (Oct C),"4 inspections done this year, low reliability of 2 and peak was seen. Enough information to create an accurate estimate, orginal estimate is likely valid.","Pink, coho, and chum estimate from observations at arrival to near peak of spawning. One sockeye seen.",,4
arnoup,6,hecate_strait_mainland,2004,NA,A/P,A/P,4,,,,,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.",Coho highest count was 508 during last inspection.,,5
arnoup,6,hecate_strait_mainland,2005,NA,A/P,A/P,5,,,,,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.","Highest single inspection count of coho was 210 coho and sockeye 2.
It is unfortunate that a count could not be done (due to high dirty water) on the Aug. 31 inspection. As a result the estimate relies mostly on the Sept. 11th count.",,5
arnoup,6,hecate_strait_mainland,2006,NA,A/P,A/P,7,,,5,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.","Observations at arrival, start, peak and finish for pinks, arrival start and peak for chums, start and end for sockeye and arrival for coho. ",,7
arnoup,6,hecate_strait_mainland,2007,NA,A/P,A/P,4,,,,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.","Coho - High water levels in the late fall prevented inspection of the upper reaches. Highest single count was 53, estimate an escapement of 100 to 200.
",,4
arnoup,6,hecate_strait_mainland,2008,NA,A/P,A/P,5,,,,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.",Coho -  from observations of coho passing through reaches below falls. Highest count was 118 with patrolman estimating over 200 for the year.,,5
arnoup,6,hecate_strait_mainland,2009,NA,A/P,A/P,2,,,,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year."," During the two visits,  counted a total of 155 chum and 55 coho but these low numbers give little indication of what may have been the final return.",,2
arnoup,6,hecate_strait_mainland,2010,NA,A/P,A/P,2,,,5,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.",Coho were seen twice (highest single count of 68).,,4
arnoup,6,hecate_strait_mainland,2011,NA,A/P,A/P,3,,,5,4,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.","Coho - highest count 60 see General Comments.
",,6
arnoup,6,hecate_strait_mainland,2012,NA,A/P,A/P,4,,,,5,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.",Coho were observed during off stream arrival and in stream arrival.,,6
arnoup,6,hecate_strait_mainland,2013,NA,,,,,,,,,,N (Oct C),No data available for this year.,,,
arnoup,6,hecate_strait_mainland,2014,NA,A/P,A/P,3,,,,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.","Estuary and in stream counts and estimates during arrival off stream, arrive in stream, start, peak of spawning period for pinks and  chums. Off stream arrival, in stream arrival for coho.",,3
arnoup,6,hecate_strait_mainland,2015,NA,A/P,A/P,5,,,5,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.","Estimate made from observation during arrival off stream, arrival in stream, start and peak of spawning for pinks and chums, for coho arrival off stream and arrival and holding coho in stream.",,5
arnoup,6,hecate_strait_mainland,2016,NA,A/P,A/P,1,,,5,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.","Estimate made from observation during arrival off stream, arrival in stream, start and peak of spawning for pinks and near end for chums, for coho arrival and holding coho in stream. ",,2
arnoup,6,hecate_strait_mainland,2017,NA,N/I,N/I,,,,,6,,6,N (Oct C),Escapement estimate is valid. Coho were not inspected this year.,Not inspected.,,
arnoup,6,hecate_strait_mainland,2018,NA,A/P,A/P,,,,,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.",,,2
arnoup,6,hecate_strait_mainland,2019,358,358,A/P,,,,,6,,6,N (Oct C),Orignial escapement estimate for this year was listed at 358. There is no information in the estimate rationale as to how this was reached. Estimate could be switched to A/P.,,,3
arnoup,6,hecate_strait_mainland,2020,NA,N/I,N/I,,,,,6,,6,N (Oct C),Escapement estimate is valid. Coho were not inspected this year.,,,3
arnoup,6,hecate_strait_mainland,2021,A/P,A/P,A/P,3,,,12,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. No rationale included for coho. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.",,,3
arnoup,6,hecate_strait_mainland,2022,A/P,A/P,A/P,4,,,,6,,6,N (Oct C),"Escapement estimate is valid. Chum and pink are the main targets for this streams inspections. No rationale included for coho. Peak coho timing was not seen, there was not enough inofrmation to generate an escapement estimate this year.",,,4
arnoup,6,hecate_strait_mainland,2023,,,,,,,,,,,,No data available for this year.,,,
arnoup,6,hecate_strait_mainland,2024,,,,,,,,,,,,No data available for this year.,,,
cascade,8,northern_coastal,1980,50,50,A/P,1,,,,,,,N (NOV),"Coho were observed in 1/5 SILs (15 Sep). It is unclear exactly how the annual estimate (50) was generated. The total count of coho for the season was 9. Viewing conditions are not reported. Peak timing is indicated in the SEN as NOV, at which point the survey period had ended. Recommend changing annual estimate to A/P due to low resolution data (only observed in 1 SIL) and poor coverage of run timing.",,,5
cascade,8,northern_coastal,1981,NA,N/O,N/O,5,,,,,,,N (NOV),"Coho were not observed in any of the 5 SILs (Aug 1 - Sep 21). Viewing conditions are not reported. Peak timing is indicated in the SEN as NOV, at which point the survey period had ended. ",,,5
cascade,8,northern_coastal,1982,NA,10,A/P,1,,,,,,,N (NOV),"Coho were observed in 1/4 SILs (15 Sep). It is unclear exactly how the annual estimate (10) was generated. The total count of coho for the season was 1. Viewing conditions are not reported. Peak timing is indicated in the SEN as NOV, at which point the survey period had ended. Recommend changing annual estimate to A/P due to low resolution data (only observed in 1 SIL) and poor coverage of run timing.",,,4
cascade,8,northern_coastal,1983,75,75,A/P,1,,,,,,,N (NOV),"Coho were observed in 1/3 SILs (21 Sep). It is unclear exactly how the annual estimate (75) was generated. The total count of coho for the season was 5. Viewing conditions are not reported. Peak timing is indicated in the SEN as NOV, at which point the survey period had ended. Recommend changing annual estimate to A/P due to low resolution data (only observed in 1 SIL) and poor coverage of run timing.",,,3
cascade,8,northern_coastal,1984,200,200,A/P,2,F,C-,,,,,N (DEC B),"Coho were observed in 2/8 SILs (Sep 13, 29). It is unclear exactly how the annual estimate (200) was generated. The total count of coho for the season was 59. Viewing conditions are not reported. Peak timing is indicated in the SEN as DEC B, at which point the survey period had ended. Recommend changing annual estimate to A/P due to low resolution data (only observed in 2 SILs) and poor coverage of run timing.",,,8
cascade,8,northern_coastal,1985,100,100,A/P,1,,,,,,,N (NOV C),"Coho were observed in 1/11 SILs (13 Nov). It is unclear exactly how the annual estimate (100) was generated. The total count of coho for the season was 66. Viewing conditions are not reported. Peak timing is indicated in the SEN as NOV C, at which point the survey period had ended. Recommend changing annual estimate to A/P due to low resolution data (only observed in 1 SIL) and incomplete coverage of run timing.",,,11
cascade,8,northern_coastal,1986,NA,,F/P,10,,,,,,,N (NOV),"Coho counts are not provided in any of the 10 SILs (Jul 31 - Sep 27). Viewing conditions are not reported. Peak timing is not provided on the SEN. Using the run timing listed in the stream catalogue, peak spawning occurs in NOV. Since the last survey of the season was on 27 Sep, peak spawning was likely missed. In the SEN, the surveyors note that ""very few coho fry [were] observed throughout season. No coho inspections made this year."" It is unclear whether spawners were not present in the system, or if they were simply not counted. Recommend changing annual estimate to F/P due to lack of observation of adults, but presence of fry noted.",Very few coho fry observed throughout season. No coho inspections made this year.,,10
cascade,8,northern_coastal,1987,250,250,A/P,UNK,1,2,,,,,Y (OCT C),"Coho were observed in 2/10 SILs (Aug 16, Oct 26). It is unclear exactly how the annual estimate (250) was generated. The total count of coho for the season was 735 (16 Aug - 530; 26 Oct - 205). The annual estimate of 250 may have been generated solely from the 26 Oct count. Viewing conditions are not reported. Survey coverage of run timing is incomplete (large gap between critical surveys), but peak seems to have been captured (OCT C - 26 Oct). Recommend review to determine an appropriate annual estimate, in the meantime, recommend changing annual estimate to A/P.",Log jam on left fork making it difficult for coho to pass small falls. Obstruction should be removed.,,10
cascade,8,northern_coastal,1988,NA,UNK,A/P,8,1,LOW,,,,,N (OCT C),"Coho counts are not provided in any of the 8 SILs (Jul 31 - Oct 2), nor is there any mention of coho in the SIL comments. However, the SEN indicates that there was a coho inspection made, and that 12 coho were observed on 8 Nov (no SIL). Viewing conditions are not reported, and survey coverage of run timing is incomplete (peak estimate OCT C; gap in critical period between 2 Oct and 8 Nov). Recommend changing annual estimate to A/P due to lack of observation of adults documented in SILs, but reportedly present in the system.","Log jam on right fork making it difficult for coho to get past falls. Only 1 coho inspection made this season, 12 coho observed on 11/8.",,8
